tribunal,siglaTribunal,dadosBasicos.orgaoJulgador.codigoOrgao,ocorrencia,valido,nao_valido,freq1,freq2,freq3,freq4
trf,TRF4,12680,92,6,0,0,4,2,0
trf,TRF4,12693,109,13,0,0,7,5,1
trf,TRF4,17789,78,2,0,0,0,2,0
trf,TRF4,44402,11,3,0,0,0,3,0
trf,TRF4,44409,2,1,0,0,0,1,0
trf,TRF4,44412,35,1,0,0,0,1,0
trf,TRF4,44462,1,1,0,0,0,1,0
trf,TRF4,44468,70,2,0,0,0,2,0
trf,TRF4,44472,13,4,0,0,2,1,1
trf,TRF4,44473,6,3,0,0,1,1,1
trf,TRF4,44477,20,3,0,0,1,2,0
trf,TRF4,44479,14,1,0,0,0,1,0
trf,TRF4,44483,11,3,0,0,1,1,1
trf,TRF4,44484,21,1,0,0,0,1,0
trf,TRF4,44490,23,6,0,0,2,1,3
trf,TRF4,72826,45,1,0,0,0,1,0
trf,TRF4,44454,2,2,0,1,1,0,0
trf,TRF4,17816,27,2,0,0,1,1,0
trf,TRF4,47246,132,7,0,0,5,2,0
trf,TRF4,12652,4314,18,0,0,6,8,4
trf,TRF4,17803,2113,16,0,0,4,6,6
trf,TRF4,11890,737,45,0,1,33,11,0
trf,TRF4,12598,895,49,0,0,38,11,0
trf,TRF4,13869,828,47,0,2,34,11,0
trf,TRF4,72909,176,15,0,0,8,7,0
trf,TRF4,11915,1019,55,0,3,43,9,0
trf,TRF4,11916,1115,35,0,3,21,11,0
trf,TRF4,11920,952,48,0,5,33,10,0
trf,TRF4,11925,733,47,0,0,34,11,2
trf,TRF4,11928,765,56,0,3,41,12,0
trf,TRF4,11970,474,47,0,2,31,14,0
trf,TRF4,11972,774,65,0,2,45,16,2
trf,TRF4,11979,363,28,0,1,19,8,0
trf,TRF4,12003,1748,67,0,1,50,14,2
trf,TRF4,12004,852,60,0,5,43,12,0
trf,TRF4,12005,608,47,0,0,33,12,2
trf,TRF4,12007,1869,57,0,1,43,13,0
trf,TRF4,12147,1152,56,0,4,39,11,2
trf,TRF4,12659,714,59,0,1,42,14,2
trf,TRF4,12682,564,55,0,4,35,14,2
trf,TRF4,13380,608,37,0,1,25,11,0
trf,TRF4,13701,1110,40,0,0,33,7,0
trf,TRF4,72823,791,40,0,0,31,9,0
trf,TRF4,11892,676,40,0,3,33,4,0
trf,TRF4,11975,407,33,0,0,29,4,0
trf,TRF4,11891,684,52,0,4,43,5,0
trf,TRF4,11978,365,45,0,3,36,6,0
